,Title,Year,Certificate,Runtime,Genre,IMDB,Metascore,Director,Votes,Gross
0,Incredibles 2,2018.0,P13,118,"Animation, Action, Adventure",7.6,80.0,Brad Bird,313956.0,608.58
1,The Lion King,2019.0,P13,118,"Animation, Adventure, Drama",6.8,55.0,Jon Favreau,256831.0,543.64
2,Finding Dory,2016.0,U,97,"Animation, Adventure, Comedy",7.3,77.0,Andrew Stanton,289941.0,486.3
3,Frozen II,2019.0,P13,103,"Animation, Adventure, Comedy",6.8,64.0,Chris Buck,183519.0,477.37
4,Shrek 2,2004.0,U,93,"Animation, Adventure, Comedy",7.3,75.0,Andrew Adamson,485150.0,436.47
5,Toy Story 4,2019.0,U,100,"Animation, Adventure, Comedy",7.7,84.0,Josh Cooley,265617.0,434.04
6,The Lion King,1994.0,U,88,"Animation, Adventure, Drama",8.5,88.0,Roger Allers,1095322.0,422.78
7,Toy Story 3,2010.0,U,103,"Animation, Adventure, Comedy",8.3,92.0,Lee Unkrich,862407.0,415.0
8,Frozen,2013.0,U,102,"Animation, Adventure, Comedy",7.4,75.0,Chris Buck,643425.0,400.74
9,Finding Nemo,2003.0,U,100,"Animation, Adventure, Comedy",8.2,90.0,Andrew Stanton,1074906.0,380.84
10,Minions: The Rise of Gru,2022.0,P13,87,"Animation, Adventure, Comedy",6.5,56.0,Kyle Balda,76839.0,369.7
11,The Secret Life of Pets,2016.0,U,87,"Animation, Adventure, Comedy",6.5,61.0,Chris Renaud,210204.0,368.38
12,Despicable Me 2,2013.0,U,98,"Animation, Adventure, Comedy",7.3,62.0,Pierre Coffin,413050.0,368.06
13,Inside Out,2015.0,U,95,"Animation, Adventure, Comedy",8.1,94.0,Pete Docter,745177.0,356.46
14,Zootopia,2016.0,P13,108,"Animation, Adventure, Comedy",8.0,78.0,Byron Howard,521595.0,341.27
15,Minions,2015.0,P13,91,"Animation, Adventure, Comedy",6.4,56.0,Kyle Balda,249196.0,336.05
16,Shrek the Third,2007.0,U,93,"Animation, Adventure, Comedy",6.1,58.0,Chris Miller,320951.0,320.71
17,Up,2009.0,U,96,"Animation, Adventure, Comedy",8.3,88.0,Pete Docter,1079901.0,293.0
18,"Monsters, Inc.",2001.0,U,92,"Animation, Adventure, Comedy",8.1,79.0,Pete Docter,940568.0,289.92
19,The Grinch,2018.0,P13,85,"Animation, Comedy, Family",6.4,51.0,Yarrow Cheney,78779.0,270.62
20,Sing,2016.0,U,108,"Animation, Comedy, Family",7.1,59.0,Garth Jennings,180800.0,270.4
21,Monsters University,2013.0,U,104,"Animation, Adventure, Comedy",7.2,65.0,Dan Scanlon,374779.0,268.49
22,Shrek,2001.0,U,90,"Animation, Adventure, Comedy",7.9,84.0,Andrew Adamson,705294.0,267.67
23,Despicable Me 3,2017.0,P13,89,"Animation, Adventure, Comedy",6.2,49.0,Kyle Balda,144672.0,264.62
24,The Incredibles,2004.0,U,115,"Animation, Action, Adventure",8.0,90.0,Brad Bird,770414.0,261.44
25,The Lego Movie,2014.0,U,100,"Animation, Action, Adventure",7.7,83.0,Phil Lord,374108.0,257.76
26,Despicable Me,2010.0,U,95,"Animation, Adventure, Comedy",7.6,72.0,Pierre Coffin,564683.0,251.51
27,Moana,2016.0,P13,107,"Animation, Adventure, Comedy",7.6,81.0,Ron Clements,356186.0,248.76
28,Toy Story 2,1999.0,U,92,"Animation, Adventure, Comedy",7.9,88.0,John Lasseter,600126.0,245.85
29,Cars,2006.0,U,117,"Animation, Adventure, Comedy",7.2,73.0,John Lasseter,444195.0,244.08
30,Shrek Forever After,2010.0,U,95,"Animation, Adventure, Comedy",6.3,58.0,Mike Mitchell,216413.0,238.37
31,Brave,2012.0,P13,93,"Animation, Adventure, Comedy",7.1,69.0,Mark Andrews,426878.0,237.28
32,WALL·E,2008.0,U,98,"Animation, Adventure, Family",8.4,95.0,Andrew Stanton,1153547.0,223.81
33,Big Hero 6,2014.0,P13,102,"Animation, Action, Adventure",7.8,74.0,Don Hall,481270.0,222.53
34,Alvin and the Chipmunks: The Squeakquel,2009.0,U,88,"Animation, Adventure, Comedy",4.5,41.0,Betty Thomas,52142.0,219.61
35,Beauty and the Beast,1991.0,U,84,"Animation, Family, Fantasy",8.0,95.0,Gary Trousdale,467281.0,218.97
36,How to Train Your Dragon,2010.0,U,98,"Animation, Action, Adventure",8.1,75.0,Dean DeBlois,768325.0,217.58
37,Aladdin,1992.0,U,90,"Animation, Adventure, Comedy",8.0,86.0,Ron Clements,442688.0,217.35
38,Alvin and the Chipmunks,2007.0,U,92,"Animation, Adventure, Comedy",5.2,39.0,Tim Hill,90847.0,217.33
39,Madagascar 3: Europe's Most Wanted,2012.0,U,95,"Animation, Adventure, Comedy",6.8,60.0,Eric Darnell,190448.0,216.39
40,Kung Fu Panda,2008.0,U,92,"Animation, Action, Adventure",7.6,74.0,Mark Osborne,493593.0,215.43
41,The Lorax,2012.0,U,86,"Animation, Adventure, Comedy",6.4,46.0,Chris Renaud,123159.0,214.03
42,Coco,2017.0,U,105,"Animation, Adventure, Drama",8.4,81.0,Lee Unkrich,544366.0,209.73
43,Ratatouille,2007.0,U,111,"Animation, Adventure, Comedy",8.1,96.0,Brad Bird,776953.0,206.45
44,Ralph Breaks the Internet,2018.0,P13,112,"Animation, Adventure, Comedy",7.0,71.0,Phil Johnston,172485.0,201.09
45,Tangled,2010.0,U,100,"Animation, Adventure, Comedy",7.7,71.0,Nathan Greno,473498.0,200.82
46,Monsters vs. Aliens,2009.0,U,94,"Animation, Action, Adventure",6.4,56.0,Rob Letterman,170347.0,198.35
47,Happy Feet,2006.0,U,108,"Animation, Adventure, Comedy",6.4,77.0,George Miller,193901.0,198.0
48,Ice Age: Dawn of the Dinosaurs,2009.0,U,94,"Animation, Adventure, Comedy",6.9,50.0,Carlos Saldanha,255263.0,196.57
49,Ice Age: The Meltdown,2006.0,U,91,"Animation, Adventure, Comedy",6.8,59.0,Carlos Saldanha,288058.0,195.33
50,Madagascar,2005.0,U,86,"Animation, Adventure, Comedy",6.9,57.0,Eric Darnell,420713.0,193.6
51,Toy Story,1995.0,U,81,"Animation, Adventure, Comedy",8.3,96.0,John Lasseter,1027726.0,191.8
52,Cars 2,2011.0,U,106,"Animation, Adventure, Comedy",6.2,57.0,John Lasseter,204159.0,191.45
53,Spider-Man: Into the Spider-Verse,2018.0,P13,117,"Animation, Action, Adventure",8.4,87.0,Bob Persichetti,611900.0,190.24
54,Wreck-It Ralph,2012.0,U,101,"Animation, Adventure, Comedy",7.7,72.0,Rich Moore,441123.0,189.42
55,The Croods,2013.0,P13,98,"Animation, Action, Adventure",7.2,55.0,Kirk DeMicco,224289.0,187.17
56,Snow White and the Seven Dwarfs,1937.0,U,83,"Animation, Adventure, Family",7.6,96.0,William Cottrell,207602.0,184.93
57,The Polar Express,2004.0,U,100,"Animation, Adventure, Comedy",6.6,61.0,Robert Zemeckis,224108.0,183.37
58,The Simpsons Movie,2007.0,P13,87,"Animation, Adventure, Comedy",7.3,80.0,David Silverman,340651.0,183.14
59,Madagascar: Escape 2 Africa,2008.0,U,89,"Animation, Adventure, Comedy",6.6,61.0,Eric Darnell,238250.0,180.01
60,Home,2015.0,PG,94,"Animation, Adventure, Comedy",6.5,55.0,Tim Johnson,107795.0,177.4
61,How to Train Your Dragon 2,2014.0,P13,102,"Animation, Action, Adventure",7.8,77.0,Dean DeBlois,350585.0,177.0
62,Ice Age,2002.0,U,81,"Animation, Adventure, Comedy",7.5,61.0,Chris Wedge,499799.0,176.39
63,The Lego Batman Movie,2017.0,U,104,"Animation, Action, Adventure",7.3,75.0,Chris McKay,163539.0,175.75
64,The Boss Baby,2017.0,U,97,"Animation, Adventure, Comedy",6.3,50.0,Tom McGrath,134903.0,175.0
65,Tarzan,1999.0,U,88,"Animation, Adventure, Comedy",7.3,79.0,Chris Buck,237264.0,171.09
66,Hotel Transylvania 2,2015.0,P13,89,"Animation, Adventure, Comedy",6.6,44.0,Genndy Tartakovsky,135601.0,169.7
67,Puss in Boots: The Last Wish,2022.0,PG,102,"Animation, Adventure, Comedy",7.9,73.0,Joel Crawford,143329.0,168.46
68,Hotel Transylvania 3: Summer Vacation,2018.0,P13,97,"Animation, Adventure, Comedy",6.3,54.0,Genndy Tartakovsky,80000.0,167.51
69,Kung Fu Panda 2,2011.0,U,90,"Animation, Action, Adventure",7.2,67.0,Jennifer Yuh Nelson,301657.0,165.25
70,The SpongeBob Movie: Sponge Out of Water,2015.0,P13,92,"Animation, Adventure, Comedy",6.0,62.0,Paul Tibbitt,58706.0,162.99
71,A Bug's Life,1998.0,,95,"Animation, Adventure, Comedy",7.2,77.0,John Lasseter,304085.0,162.8
72,Sing 2,2021.0,PG,110,"Animation, Adventure, Comedy",7.4,49.0,Garth Jennings,77162.0,162.79
73,Ice Age: Continental Drift,2012.0,U,88,"Animation, Adventure, Comedy",6.5,49.0,Steve Martino,217477.0,161.32
74,Shark Tale,2004.0,U,90,"Animation, Adventure, Comedy",6.0,48.0,Bibo Bergeron,191966.0,160.86
75,How to Train Your Dragon: The Hidden World,2019.0,P13,104,"Animation, Action, Adventure",7.4,71.0,Dean DeBlois,140463.0,160.8
76,The Secret Life of Pets 2,2019.0,U,86,"Animation, Adventure, Comedy",6.4,55.0,Chris Renaud,65991.0,158.87
77,Who Framed Roger Rabbit,1988.0,U,104,"Animation, Adventure, Comedy",7.7,83.0,Robert Zemeckis,209622.0,156.45
