,Title,Year,Certificate,Runtime,Genre,IMDB,Metascore,Director,Votes,Gross
0,Incredibles 2,(2018),P13,118 min,"Animation, Action, Adventure",7.6,80        ,Brad Bird,"313,956",$608.58M
1,The Lion King,(2019),P13,118 min,"Animation, Adventure, Drama",6.8,55        ,Jon Favreau,"256,831",$543.64M
2,Finding Dory,(2016),U,97 min,"Animation, Adventure, Comedy",7.3,77        ,Andrew Stanton,"289,941",$486.30M
3,Frozen II,(2019),P13,103 min,"Animation, Adventure, Comedy",6.8,64        ,Chris Buck,"183,519",$477.37M
4,Shrek 2,(2004),U,93 min,"Animation, Adventure, Comedy",7.3,75        ,Andrew Adamson,"485,150",$436.47M
5,Toy Story 4,(2019),U,100 min,"Animation, Adventure, Comedy",7.7,84        ,Josh Cooley,"265,617",$434.04M
6,The Lion King,(1994),U,88 min,"Animation, Adventure, Drama",8.5,88        ,Roger Allers,"1,095,322",$422.78M
7,Toy Story 3,(2010),U,103 min,"Animation, Adventure, Comedy",8.3,92        ,Lee Unkrich,"862,407",$415.00M
8,Frozen,(I) (2013),U,102 min,"Animation, Adventure, Comedy",7.4,75        ,Chris Buck,"643,425",$400.74M
9,Finding Nemo,(2003),U,100 min,"Animation, Adventure, Comedy",8.2,90        ,Andrew Stanton,"1,074,906",$380.84M
10,Minions: The Rise of Gru,(2022),P13,87 min,"Animation, Adventure, Comedy",6.5,56        ,Kyle Balda,"76,839",$369.70M
11,The Secret Life of Pets,(2016),U,87 min,"Animation, Adventure, Comedy",6.5,61        ,Chris Renaud,"210,204",$368.38M
12,Despicable Me 2,(2013),U,98 min,"Animation, Adventure, Comedy",7.3,62        ,Pierre Coffin,"413,050",$368.06M
13,Inside Out,(I) (2015),U,95 min,"Animation, Adventure, Comedy",8.1,94        ,Pete Docter,"745,177",$356.46M
14,Zootopia,(2016),P13,108 min,"Animation, Adventure, Comedy",8.0,78        ,Byron Howard,"521,595",$341.27M
15,Minions,(2015),P13,91 min,"Animation, Adventure, Comedy",6.4,56        ,Kyle Balda,"249,196",$336.05M
16,Shrek the Third,(2007),U,93 min,"Animation, Adventure, Comedy",6.1,58        ,Chris Miller,"320,951",$320.71M
17,Up,(2009),U,96 min,"Animation, Adventure, Comedy",8.3,88        ,Pete Docter,"1,079,901",$293.00M
18,"Monsters, Inc.",(2001),U,92 min,"Animation, Adventure, Comedy",8.1,79        ,Pete Docter,"940,568",$289.92M
19,The Grinch,(2018),P13,85 min,"Animation, Comedy, Family",6.4,51        ,Yarrow Cheney,"78,779",$270.62M
20,Sing,(2016),U,108 min,"Animation, Comedy, Family",7.1,59        ,Garth Jennings,"180,800",$270.40M
21,Monsters University,(2013),U,104 min,"Animation, Adventure, Comedy",7.2,65        ,Dan Scanlon,"374,779",$268.49M
22,Shrek,(2001),U,90 min,"Animation, Adventure, Comedy",7.9,84        ,Andrew Adamson,"705,294",$267.67M
23,Despicable Me 3,(2017),P13,89 min,"Animation, Adventure, Comedy",6.2,49        ,Kyle Balda,"144,672",$264.62M
24,The Incredibles,(2004),U,115 min,"Animation, Action, Adventure",8.0,90        ,Brad Bird,"770,414",$261.44M
25,The Lego Movie,(2014),U,100 min,"Animation, Action, Adventure",7.7,83        ,Phil Lord,"374,108",$257.76M
26,Despicable Me,(2010),U,95 min,"Animation, Adventure, Comedy",7.6,72        ,Pierre Coffin,"564,683",$251.51M
